temps_s,mode,message,rssi_dbm,puissance_w,snr_db,energie_totale_j
106.99426555633545,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-62,6.309573444801942e-10,,2.901480254423714e-06
107.88747811317444,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-51,7.943282347242822e-09,,2.901480254423714e-06
108.6363673210144,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-65,3.1622776601683795e-10,,2.901480254423714e-06
109.47908401489258,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-71,7.943282347242822e-11,,2.901480254423714e-06
110.28901171684265,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-72,6.309573444801942e-11,,2.901480254423714e-06
111.14896774291992,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-45,3.162277660168379e-08,,2.901480254423714e-06
111.95937061309814,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-56,2.511886431509582e-09,,2.901480254423714e-06
112.76658368110657,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-72,6.309573444801942e-11,,2.901480254423714e-06
113.58314061164856,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-81,7.943282347242821e-12,,2.901480254423714e-06
114.39882707595825,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-71,7.943282347242822e-11,,2.901480254423714e-06
114.98397517204285,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-64,3.9810717055349694e-10,,2.901480254423714e-06
115.89880156517029,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-46,2.511886431509582e-08,,2.901480254423714e-06
116.71315741539001,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-48,1.5848931924611143e-08,,2.901480254423714e-06
117.46648669242859,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-58,1.584893192461111e-09,,2.901480254423714e-06
118.29777526855469,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-47,1.9952623149688786e-08,,2.901480254423714e-06
119.02260041236877,Beacons BLE,Beacon BLE | MAC=54:53:06:18:AE:EA,-83,5.011872336272715e-12,,2.901480254423714e-06
119.68427991867065,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-65,3.1622776601683795e-10,,2.901480254423714e-06
120.30568742752075,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-70,1e-10,,2.901480254423714e-06
121.07291293144226,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-55,3.1622776601683795e-09,,2.901480254423714e-06
121.91224503517151,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-53,5.011872336272715e-09,,2.901480254423714e-06
122.57962656021118,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-51,7.943282347242822e-09,,2.901480254423714e-06
123.26622271537781,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-46,2.511886431509582e-08,,2.901480254423714e-06
