temps_s,mode,message,rssi_dbm,puissance_w,snr_db,energie_totale_j
168.73101210594177,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-75,3.1622776601683794e-11,,3.004175255885922e-05
169.77028822898865,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-75,3.1622776601683794e-11,,3.004175255885922e-05
170.81068444252014,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-75,3.1622776601683794e-11,,3.004175255885922e-05
171.85117411613464,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-75,3.1622776601683794e-11,,3.004175255885922e-05
172.9630115032196,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-75,3.1622776601683794e-11,,3.004175255885922e-05
174.21678948402405,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-75,3.1622776601683794e-11,,3.004175255885922e-05
175.2778558731079,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
176.34520888328552,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
177.38307166099548,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
178.41666221618652,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
179.4479477405548,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
180.49386501312256,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
181.60165548324585,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
182.6255705356598,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
183.65285396575928,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
184.67585158348083,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
185.69941997528076,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
186.7251012325287,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
187.75601887702942,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
188.7803075313568,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
189.8045105934143,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
190.82983469963074,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
191.85307693481445,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
192.8932044506073,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
193.9422640800476,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
194.98241257667542,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
196.0272557735443,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
197.07554292678833,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
198.1185221672058,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
199.1646330356598,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
200.21895265579224,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
201.2631072998047,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
202.3077175617218,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
203.38475966453552,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-87,1.9952623149688827e-12,,3.004175255885922e-05
