numero_trame,temps_debut_s,temps_fin_s,duree_us,mac,rssi_dbm,canal,longueur_payload_octets,type_pdu,phy
7762,1784085455.312654972,1784085455.312790871,136.000,inconnue,-48,37,7,0x07,LE 1M
7763,1784085455.336538076,1784085455.336914062,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7764,1784085455.354352951,1784085455.354728937,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
7765,1784085455.376864910,1784085455.377056837,192.000,fd:ae:ad:2f:1c:f8,-81,37,14,0x02,LE 1M
7766,1784085455.411212921,1784085455.411588907,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7767,1784085455.448280096,1784085455.448415995,136.000,inconnue,-71,39,7,0x07,LE 1M
7768,1784085455.485340118,1784085455.485604048,264.000,72:f8:93:52:f1:15,-82,37,23,0x02,LE 1M
7769,1784085455.517142057,1784085455.517446041,304.000,5d:9d:6f:a8:90:a8,-48,38,28,0x00,LE 1M
7770,1784085455.549175024,1784085455.549479008,304.000,5d:9d:6f:a8:90:a8,-53,39,28,0x00,LE 1M
7771,1784085455.586730003,1784085455.587105989,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
7772,1784085455.614064932,1784085455.614440918,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7773,1784085455.621092081,1784085455.621468067,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
7774,1784085455.655875921,1784085455.656155825,280.000,6d:fa:e6:8a:d6:38,-74,37,25,0x00,LE 1M
7775,1784085455.682302952,1784085455.682574987,272.000,49:5c:5e:03:51:8b,-75,38,24,0x00,LE 1M
7776,1784085455.715636969,1784085455.716012955,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
7777,1784085455.742363930,1784085455.742739916,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
7778,1784085455.774868965,1784085455.775172949,304.000,5d:9d:6f:a8:90:a8,-48,38,28,0x00,LE 1M
7779,1784085455.809144974,1784085455.809520960,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
7780,1784085455.847131968,1784085455.847507954,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
7781,1784085455.875775099,1784085455.876151085,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7782,1784085455.920692921,1784085455.921068907,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
7783,1784085455.948530912,1784085455.948906898,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
7784,1784085455.991718054,1784085455.991853952,136.000,inconnue,-50,38,7,0x07,LE 1M
7785,1784085455.992507935,1784085455.992643833,136.000,inconnue,-71,39,7,0x07,LE 1M
7786,1784085455.993338108,1784085455.993714094,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
7787,1784085455.999852896,1784085456.000156879,304.000,5d:9d:6f:a8:90:a8,-47,38,28,0x00,LE 1M
7788,1784085456.034465075,1784085456.034744978,280.000,6d:fa:e6:8a:d6:38,-77,39,25,0x00,LE 1M
7789,1784085456.036273003,1784085456.036648989,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
7790,1784085456.058075905,1784085456.058451891,376.000,e0:90:b5:2d:f2:73,-47,38,37,0x00,LE 1M
7791,1784085456.091500044,1784085456.091635942,136.000,inconnue,-69,39,7,0x07,LE 1M
7792,1784085456.136331081,1784085456.136707067,376.000,e8:26:92:5d:73:47,-79,37,37,0x02,LE 1M
7793,1784085456.165473938,1784085456.165849924,376.000,e0:90:b5:2d:f2:73,-47,38,37,0x00,LE 1M
7794,1784085456.209497929,1784085456.209873915,376.000,e0:90:b5:2d:f2:73,-52,39,37,0x00,LE 1M
7795,1784085456.247071028,1784085456.247350931,280.000,5b:02:fa:84:93:7f,-83,37,25,0x00,LE 1M
7796,1784085456.284574032,1784085456.284950018,376.000,e0:90:b5:2d:f2:73,-47,38,37,0x00,LE 1M
7797,1784085456.321757078,1784085456.322061062,304.000,5d:9d:6f:a8:90:a8,-51,39,28,0x00,LE 1M
7798,1784085456.343580008,1784085456.343883991,304.000,5d:9d:6f:a8:90:a8,-46,37,28,0x00,LE 1M
7799,1784085456.377012968,1784085456.377148867,136.000,inconnue,-50,38,7,0x07,LE 1M
7800,1784085456.408356905,1784085456.408492804,136.000,inconnue,-69,39,7,0x07,LE 1M
7801,1784085456.440432072,1784085456.440808058,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
7802,1784085456.467242002,1784085456.467617989,376.000,e0:90:b5:2d:f2:73,-47,38,37,0x00,LE 1M
7803,1784085456.494297981,1784085456.494577885,280.000,6d:fa:e6:8a:d6:38,-77,39,25,0x00,LE 1M
7804,1784085456.516091108,1784085456.516467094,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
