temps_s,mode,message,rssi_dbm,puissance_w,snr_ou_intervalle,energie_totale_j
552.533650636673,Wi-Fi 2.4 GHz,"PAQUET,3166,TAILLE,22,Welcome to new project",-50,1e-08,,7.392265377191218e-05
557.1295247077942,Wi-Fi 2.4 GHz,"PAQUET,3167,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-50,1e-08,,7.392265377191218e-05
562.2397658824921,Wi-Fi 2.4 GHz,"PAQUET,3168,TAILLE,22,Welcome to new project",-50,1e-08,,7.392265377191218e-05
567.3474078178406,Wi-Fi 2.4 GHz,"PAQUET,3169,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-50,1e-08,,7.392265377191218e-05
572.0422360897064,Wi-Fi 2.4 GHz,"PAQUET,3170,TAILLE,22,Welcome to new project",-49,1.2589254117941661e-08,,7.392265377191218e-05
577.1307473182678,Wi-Fi 2.4 GHz,"PAQUET,3171,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-51,7.943282347242822e-09,,7.392265377191218e-05
582.2475337982178,Wi-Fi 2.4 GHz,"PAQUET,3172,TAILLE,22,Welcome to new project",-49,1.2589254117941661e-08,,7.392265377191218e-05
587.3738634586334,Wi-Fi 2.4 GHz,"PAQUET,3173,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-51,7.943282347242822e-09,,7.392265377191218e-05
592.4973692893982,Wi-Fi 2.4 GHz,"PAQUET,3174,TAILLE,22,Welcome to new project",-50,1e-08,,7.392265377191218e-05
597.1134042739868,Wi-Fi 2.4 GHz,"PAQUET,3175,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-51,7.943282347242822e-09,,7.392265377191218e-05
602.2290272712708,Wi-Fi 2.4 GHz,"PAQUET,3176,TAILLE,22,Welcome to new project",-51,7.943282347242822e-09,,7.392265377191218e-05
607.3501491546631,Wi-Fi 2.4 GHz,"PAQUET,3177,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-51,7.943282347242822e-09,,7.392265377191218e-05
611.9797868728638,Wi-Fi 2.4 GHz,"PAQUET,3178,TAILLE,22,Welcome to new project",-50,1e-08,,7.392265377191218e-05
617.0581917762756,Wi-Fi 2.4 GHz,"PAQUET,3179,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-51,7.943282347242822e-09,,7.392265377191218e-05
622.1723446846008,Wi-Fi 2.4 GHz,"PAQUET,3180,TAILLE,22,Welcome to new project",-52,6.309573444801943e-09,,7.392265377191218e-05
627.2775485515594,Wi-Fi 2.4 GHz,"PAQUET,3181,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-51,7.943282347242822e-09,,7.392265377191218e-05
632.417736530304,Wi-Fi 2.4 GHz,"PAQUET,3182,TAILLE,22,Welcome to new project",-51,7.943282347242822e-09,,7.392265377191218e-05
637.0188689231873,Wi-Fi 2.4 GHz,"PAQUET,3183,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-50,1e-08,,7.392265377191218e-05
642.1380243301392,Wi-Fi 2.4 GHz,"PAQUET,3184,TAILLE,22,Welcome to new project",-43,5.011872336272725e-08,,7.392265377191218e-05
647.2633936405182,Wi-Fi 2.4 GHz,"PAQUET,3185,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-48,1.5848931924611143e-08,,7.392265377191218e-05
651.8851256370544,Wi-Fi 2.4 GHz,"PAQUET,3186,TAILLE,22,Welcome to new project",-48,1.5848931924611143e-08,,7.392265377191218e-05
657.4650764465332,Wi-Fi 2.4 GHz,"PAQUET,3187,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-46,2.511886431509582e-08,,7.392265377191218e-05
662.0933084487915,Wi-Fi 2.4 GHz,"PAQUET,3188,TAILLE,22,Welcome to new project",-49,1.2589254117941661e-08,,7.392265377191218e-05
667.1938858032227,Wi-Fi 2.4 GHz,"PAQUET,3189,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-50,1e-08,,7.392265377191218e-05
672.3393580913544,Wi-Fi 2.4 GHz,"PAQUET,3190,TAILLE,22,Welcome to new project",-48,1.5848931924611143e-08,,7.392265377191218e-05
676.9781847000122,Wi-Fi 2.4 GHz,"PAQUET,3191,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-49,1.2589254117941661e-08,,7.392265377191218e-05
682.0746517181396,Wi-Fi 2.4 GHz,"PAQUET,3192,TAILLE,22,Welcome to new project",-50,1e-08,,7.392265377191218e-05
687.2042617797852,Wi-Fi 2.4 GHz,"PAQUET,3193,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-50,1e-08,,7.392265377191218e-05
691.8414554595947,Wi-Fi 2.4 GHz,"PAQUET,3194,TAILLE,22,Welcome to new project",-51,7.943282347242822e-09,,7.392265377191218e-05
697.4791796207428,Wi-Fi 2.4 GHz,"PAQUET,3195,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-49,1.2589254117941661e-08,,7.392265377191218e-05
702.1296315193176,Wi-Fi 2.4 GHz,"PAQUET,3196,TAILLE,22,Welcome to new project",-45,3.162277660168379e-08,,7.392265377191218e-05
706.765031337738,Wi-Fi 2.4 GHz,"PAQUET,3197,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-42,6.30957344480193e-08,,7.392265377191218e-05
712.3677816390991,Wi-Fi 2.4 GHz,"PAQUET,3198,TAILLE,22,Welcome to new project",-44,3.981071705534969e-08,,7.392265377191218e-05
716.9937045574188,Wi-Fi 2.4 GHz,"PAQUET,3199,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-50,1e-08,,7.392265377191218e-05
722.1268675327301,Wi-Fi 2.4 GHz,"PAQUET,3200,TAILLE,22,Welcome to new project",-42,6.30957344480193e-08,,7.392265377191218e-05
727.2763924598694,Wi-Fi 2.4 GHz,"PAQUET,3201,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-50,1e-08,,7.392265377191218e-05
731.9297168254852,Wi-Fi 2.4 GHz,"PAQUET,3202,TAILLE,22,Welcome to new project",-50,1e-08,,7.392265377191218e-05
737.0308794975281,Wi-Fi 2.4 GHz,"PAQUET,3203,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-53,5.011872336272715e-09,,7.392265377191218e-05
742.1883597373962,Wi-Fi 2.4 GHz,"PAQUET,3204,TAILLE,22,Welcome to new project",-57,1.9952623149688828e-09,,7.392265377191218e-05
746.8264060020447,Wi-Fi 2.4 GHz,"PAQUET,3205,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-44,3.981071705534969e-08,,7.392265377191218e-05
751.9654679298401,Wi-Fi 2.4 GHz,"PAQUET,3206,TAILLE,22,Welcome to new project",-50,1e-08,,7.392265377191218e-05
757.1091170310974,Wi-Fi 2.4 GHz,"PAQUET,3207,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-51,7.943282347242822e-09,,7.392265377191218e-05
762.2590594291687,Wi-Fi 2.4 GHz,"PAQUET,3208,TAILLE,22,Welcome to new project",-48,1.5848931924611143e-08,,7.392265377191218e-05
766.916158914566,Wi-Fi 2.4 GHz,"PAQUET,3209,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-48,1.5848931924611143e-08,,7.392265377191218e-05
772.0337917804718,Wi-Fi 2.4 GHz,"PAQUET,3210,TAILLE,22,Welcome to new project",-39,1.2589254117941662e-07,,7.392265377191218e-05
