temps_s,paquets_total,paquets_par_seconde,debit_ko_s,source
603.34,77928,129.3,67.81,"('10.213.124.218', 2390)"
604.35,78057,128.22,67.24,"('10.213.124.218', 2390)"
605.37,78189,129.13,67.72,"('10.213.124.218', 2390)"
606.37,78319,129.97,68.16,"('10.213.124.218', 2390)"
607.38,78450,130.02,68.18,"('10.213.124.218', 2390)"
608.38,78579,128.73,67.51,"('10.213.124.218', 2390)"
609.38,78709,129.93,68.14,"('10.213.124.218', 2390)"
610.38,78839,129.3,67.81,"('10.213.124.218', 2390)"
611.39,78969,129.2,67.75,"('10.213.124.218', 2390)"
612.39,79098,128.75,67.52,"('10.213.124.218', 2390)"
613.39,79228,129.59,67.96,"('10.213.124.218', 2390)"
614.42,79357,126.38,66.28,"('10.213.124.218', 2390)"
615.42,79489,131.16,68.78,"('10.213.124.218', 2390)"
616.42,79619,129.98,68.16,"('10.213.124.218', 2390)"
617.43,79749,128.45,67.36,"('10.213.124.218', 2390)"
618.44,79878,128.83,67.56,"('10.213.124.218', 2390)"
619.44,80009,130.45,68.41,"('10.213.124.218', 2390)"
620.45,80137,127.3,66.76,"('10.213.124.218', 2390)"
621.45,80267,129.83,68.09,"('10.213.124.218', 2390)"
622.46,80398,128.75,67.52,"('10.213.124.218', 2390)"
623.47,80528,129.07,67.68,"('10.213.124.218', 2390)"
624.49,80659,129.17,67.74,"('10.213.124.218', 2390)"
625.49,80788,128.89,67.59,"('10.213.124.218', 2390)"
626.5,80920,130.56,68.47,"('10.213.124.218', 2390)"
627.5,81051,130.01,68.18,"('10.213.124.218', 2390)"
628.51,81177,125.91,66.03,"('10.213.124.218', 2390)"
629.52,81309,130.71,68.54,"('10.213.124.218', 2390)"
630.52,81439,129.08,67.69,"('10.213.124.218', 2390)"
631.54,81571,130.32,68.34,"('10.213.124.218', 2390)"
632.55,81702,128.77,67.53,"('10.213.124.218', 2390)"
633.56,81833,130.49,68.43,"('10.213.124.218', 2390)"
634.57,81963,128.25,67.26,"('10.213.124.218', 2390)"
635.57,82093,129.82,68.08,"('10.213.124.218', 2390)"
636.57,82223,129.58,67.95,"('10.213.124.218', 2390)"
637.59,82353,127.48,66.85,"('10.213.124.218', 2390)"
638.6,82484,130.15,68.25,"('10.213.124.218', 2390)"
639.61,82612,127.12,66.67,"('10.213.124.218', 2390)"
640.61,82742,129.83,68.08,"('10.213.124.218', 2390)"
641.62,82872,129.09,67.69,"('10.213.124.218', 2390)"
