index;uuid;major;minor;address;start_epoch;end_epoch;duration_ms;interval_ms;packet_count;channels;rssi_mean;tx_power
82;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711598.794705;1784711598.794705;0.0;31.5859317779541;1;38;-60.0;-56
83;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711598.831367;1784711598.831367;0.0;36.66210174560547;1;39;-57.0;-56
84;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711599.278694;1784711599.278694;0.0;447.3268985748291;1;38;-60.0;-56
85;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711599.30479;1784711599.30479;0.0;26.096105575561523;1;39;-57.0;-56
86;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711599.740816;1784711599.740816;0.0;436.02609634399414;1;37;-62.0;-56
87;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711599.76233;1784711599.76233;0.0;21.513938903808594;1;38;-62.0;-56
88;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711599.78876;1784711599.78876;0.0;26.42989158630371;1;39;-58.0;-56
89;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711600.140304;1784711600.140304;0.0;351.5441417694092;1;37;-62.0;-56
90;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711600.181746;1784711600.181746;0.0;41.441917419433594;1;38;-62.0;-56
91;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711600.213129;1784711600.213129;0.0;31.383037567138672;1;39;-58.0;-56
92;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711601.286688;1784711601.286688;0.0;1073.559045791626;1;37;-62.0;-56
93;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711601.328275;1784711601.339282;11.007070541381836;41.586875915527344;2;38,39;-58.5;-56
94;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711602.13136;1784711602.13136;0.0;803.0850887298584;1;37;-63.0;-56
95;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711602.167809;1784711602.167809;0.0;36.44895553588867;1;38;-62.0;-56
96;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711602.194056;1784711602.194056;0.0;26.247024536132812;1;39;-58.0;-56
97;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711602.574438;1784711602.574438;0.0;380.3820610046387;1;38;-62.0;-56
98;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711602.606818;1784711602.606818;0.0;32.379865646362305;1;39;-58.0;-56
99;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711602.938431;1784711602.938431;0.0;331.61306381225586;1;38;-62.0;-56
100;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711602.965939;1784711602.965939;0.0;27.508020401000977;1;39;-58.0;-56
101;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711603.451068;1784711603.451068;0.0;485.12887954711914;1;38;-62.0;-56
102;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711603.472279;1784711603.472279;0.0;21.21114730834961;1;39;-59.0;-56
103;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711603.923737;1784711603.923737;0.0;451.4579772949219;1;38;-62.0;-56
104;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711603.970492;1784711603.970492;0.0;46.75483703613281;1;39;-59.0;-56
105;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711604.435873;1784711604.435873;0.0;465.3811454772949;1;37;-63.0;-56
106;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711604.467134;1784711604.467134;0.0;31.260967254638672;1;38;-62.0;-56
107;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711604.498278;1784711604.498278;0.0;31.143903732299805;1;39;-58.0;-56
108;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711605.318033;1784711605.318863;0.8299350738525391;819.7550773620605;2;37,38;-62.5;-56
109;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711605.345112;1784711605.345112;0.0;27.079105377197266;1;39;-58.0;-56
110;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711605.614914;1784711605.614914;0.0;269.8018550872803;1;38;-63.0;-56
111;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711605.641036;1784711605.641036;0.0;26.122093200683594;1;39;-59.0;-56
112;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711606.01499;1784711606.01499;0.0;373.95405769348145;1;37;-63.0;-56
113;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711606.046603;1784711606.046603;0.0;31.612873077392578;1;38;-62.0;-56
114;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711606.07836;1784711606.07836;0.0;31.757116317749023;1;39;-58.0;-56
115;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711606.423841;1784711606.423841;0.0;345.48091888427734;1;37;-64.0;-56
116;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711606.456542;1784711606.456542;0.0;32.70101547241211;1;38;-62.0;-56
117;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711606.493593;1784711606.493593;0.0;37.05096244812012;1;39;-59.0;-56
118;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711606.870341;1784711606.870341;0.0;376.74808502197266;1;37;-64.0;-56
119;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711606.892968;1784711606.892968;0.0;22.626876831054688;1;38;-63.0;-56
120;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711606.920254;1784711606.920254;0.0;27.286052703857422;1;39;-59.0;-56
121;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711607.225094;1784711607.225094;0.0;304.840087890625;1;39;-59.0;-56
122;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711607.620033;1784711607.620033;0.0;394.9389457702637;1;39;-59.0;-56
123;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711608.130892;1784711608.130892;0.0;510.85901260375977;1;37;-63.0;-56
124;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711608.162705;1784711608.162705;0.0;31.81290626525879;1;38;-62.0;-56
125;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711608.205981;1784711608.205981;0.0;43.276071548461914;1;39;-59.0;-56
