RAPPORT D'ACQUISITION BLE V4
============================

Date : 2026-07-16 15:46:14.415290
Matériel : Adafruit Bluefruit LE Sniffer nRF51822
PHY : LE 1M
Filtre : dc:a6:32:65:e5:71
Nombre d'appareils détectés : 199
Nombre de trames analysées : 503

DURÉE DES TRAMES
-----------------
Durée moyenne : 368.000 µs
Durée minimale : 368.000 µs
Durée maximale : 368.000 µs

RSSI
----
RSSI moyen : -44.27 dBm
RSSI minimal : -51 dBm
RSSI maximal : -44 dBm

RÉPARTITION PAR CANAL
---------------------
Canal 37 : 44 trames
Canal 38 : 217 trames
Canal 39 : 242 trames

APPAREILS DÉTECTÉS
-------------------
Inconnu | ac:e7:b0:c6:d7:6d | 1 trames | RSSI moyen=-95 | Durée moyenne=280.0 µs
Inconnu | 78:42:84:e3:5c:5e | 1 trames | RSSI moyen=-89 | Durée moyenne=272.0 µs
Inconnu | 43:9f:7c:b0:80:ce | 1 trames | RSSI moyen=-82 | Durée moyenne=144.0 µs
Inconnu | 78:50:94:a7:5c:5e | 1 trames | RSSI moyen=-91 | Durée moyenne=272.0 µs
Inconnu | 78:20:94:a3:5c:5e | 1 trames | RSSI moyen=-89 | Durée moyenne=272.0 µs
Inconnu | b6:e7:b0:c6:d7:6d | 1 trames | RSSI moyen=-90 | Durée moyenne=280.0 µs
Inconnu | 78:40:94:e3:58:5e | 1 trames | RSSI moyen=-90 | Durée moyenne=272.0 µs
Inconnu | 78:40:84:e3:5c:5c | 1 trames | RSSI moyen=-90 | Durée moyenne=272.0 µs
Inconnu | 78:40:95:e3:50:56 | 1 trames | RSSI moyen=-89 | Durée moyenne=272.0 µs
Inconnu | 41:5e:7c:b2:80:ce | 1 trames | RSSI moyen=-83 | Durée moyenne=272.0 µs
Inconnu | 43:9e:7c:b2:80:e0 | 1 trames | RSSI moyen=-83 | Durée moyenne=272.0 µs
Inconnu | 78:40:d4:e3:5c:5e | 1 trames | RSSI moyen=-89 | Durée moyenne=272.0 µs
Inconnu | 30:17:12:30:23:b5 | 1 trames | RSSI moyen=-98 | Durée moyenne=568.0 µs
Inconnu | 43:9e:3b:0a:60:ce | 1 trames | RSSI moyen=-83 | Durée moyenne=432.0 µs
Inconnu | e3:0c:4d:99:8b:8d | 1 trames | RSSI moyen=-96 | Durée moyenne=192.0 µs
Inconnu | 78:c0:94:e7:5c:5e | 1 trames | RSSI moyen=-86 | Durée moyenne=272.0 µs
Inconnu | d0:e7:b3:4f:e7:0c | 1 trames | RSSI moyen=-98 | Durée moyenne=280.0 µs
Inconnu | 78:48:94:83:0c:5f | 1 trames | RSSI moyen=-98 | Durée moyenne=144.0 µs
Inconnu | 43:9a:7c:b2:80:ce | 1 trames | RSSI moyen=-87 | Durée moyenne=272.0 µs
Inconnu | 78:40:94:e3:5a:5e | 1 trames | RSSI moyen=-96 | Durée moyenne=272.0 µs
Inconnu | 63:9a:0c:b6:80:ce | 1 trames | RSSI moyen=-84 | Durée moyenne=272.0 µs
Inconnu | 43:9e:7c:b2:90:ce | 1 trames | RSSI moyen=-95 | Durée moyenne=272.0 µs
Inconnu | 6c:40:94:e3:5c:5e | 1 trames | RSSI moyen=-87 | Durée moyenne=272.0 µs
Inconnu | 43:9f:fd:b2:80:c2 | 1 trames | RSSI moyen=-87 | Durée moyenne=272.0 µs
Inconnu | 78:40:14:e3:5c:4e | 1 trames | RSSI moyen=-94 | Durée moyenne=272.0 µs
Inconnu | 3f:17:10:20:22:b5 | 1 trames | RSSI moyen=-98 | Durée moyenne=376.0 µs
Inconnu | 31:17:0a:20:22:b5 | 1 trames | RSSI moyen=-98 | Durée moyenne=376.0 µs
Inconnu | e3:b4:de:57:f0:ef | 1 trames | RSSI moyen=-94 | Durée moyenne=192.0 µs
Inconnu | 65:9e:7a:b2:88:8e | 1 trames | RSSI moyen=-83 | Durée moyenne=272.0 µs
Inconnu | e3:b9:c6:5a:20:47 | 1 trames | RSSI moyen=-97 | Durée moyenne=192.0 µs
Inconnu | ea:23:c0:06:5a:c9 | 1 trames | RSSI moyen=-86 | Durée moyenne=376.0 µs
Inconnu | 43:9e:7a:b2:80:de | 1 trames | RSSI moyen=-84 | Durée moyenne=272.0 µs
Inconnu | 64:2e:e0:78:a1:87 | 1 trames | RSSI moyen=-98 | Durée moyenne=272.0 µs
Inconnu | 78:40:94:e2:5c:50 | 1 trames | RSSI moyen=-87 | Durée moyenne=272.0 µs
Inconnu | 78:50:94:e3:5e:5e | 1 trames | RSSI moyen=-94 | Durée moyenne=272.0 µs
Inconnu | 42:9e:7c:b2:80:ce | 1 trames | RSSI moyen=-83 | Durée moyenne=272.0 µs
Inconnu | a1:c2:94:e3:5c:5e | 1 trames | RSSI moyen=-89 | Durée moyenne=272.0 µs
Inconnu | 30:17:1c:20:22:b5 | 1 trames | RSSI moyen=-98 | Durée moyenne=376.0 µs
Inconnu | b4:27:bc:c6:d3:ed | 1 trames | RSSI moyen=-92 | Durée moyenne=280.0 µs
Inconnu | 78:40:84:e3:5c:5e | 1 trames | RSSI moyen=-87 | Durée moyenne=272.0 µs
Inconnu | 01:02:74:2e:e0:6b | 1 trames | RSSI moyen=-95 | Durée moyenne=272.0 µs
Inconnu | 78:50:94:e3:5a:5e | 1 trames | RSSI moyen=-97 | Durée moyenne=272.0 µs
