numero;timestamp_s;temps_relatif_s;mac;longueur_payload_octets;type_pdu;rssi_dbm;canal;duree_estimee_us;timestamp_fin_s;company_id;donnees_brutes
92;1784203070.833246946;56.462733;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203070.833615065;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
93;1784203072.076124907;57.705611;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203072.076493025;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
94;1784203073.339193106;58.968679;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203073.339561224;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
95;1784203074.730607986;60.360094;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203074.730976105;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
96;1784203074.731453896;60.360940;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203074.731822014;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
97;1784203075.906972885;61.536459;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203075.907341003;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
98;1784203075.933933973;61.563420;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203075.934302092;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
99;1784203077.253309965;62.882796;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203077.253678083;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
100;1784203078.489991903;64.119478;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203078.490360022;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
101;1784203079.845022917;65.474509;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203079.845391035;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
102;1784203079.866596937;65.496083;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203079.866965055;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
103;1784203079.893764019;65.523250;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203079.894132137;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
104;1784203081.043776989;66.673263;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203081.044145107;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
105;1784203081.045178890;66.674665;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203081.045547009;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
106;1784203082.342998981;67.972485;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203082.343367100;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
107;1784203083.623538017;69.253024;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203083.623906136;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
108;1784203084.918354034;70.547840;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203084.918722153;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
109;1784203084.950098038;70.579584;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203084.950466156;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
110;1784203086.169631004;71.799117;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203086.169999123;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
111;1784203086.170816898;71.800303;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203086.171185017;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
112;1784203086.182892084;71.812378;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203086.183260202;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
113;1784203087.453156948;73.082643;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203087.453525066;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
114;1784203087.459579945;73.089066;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203087.459948063;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
115;1784203088.747545004;74.377031;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203088.747913122;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
116;1784203090.070727110;75.700213;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203090.071095228;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
117;1784203090.077012062;75.706498;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203090.077380180;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
118;1784203090.108823061;75.738309;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203090.109191179;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
119;1784203091.296700001;76.926186;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203091.297068119;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
120;1784203091.327203035;76.956689;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203091.327571154;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
121;1784203091.353859901;76.983346;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203091.354228020;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
122;1784203092.562884092;78.192370;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203092.563252211;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
123;1784203093.873748064;79.503234;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203093.874116182;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
124;1784203093.904206038;79.533692;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203093.904574156;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
125;1784203093.946348906;79.575835;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203093.946717024;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
126;1784203095.147175074;80.776661;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203095.147543192;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
127;1784203096.527709961;82.157196;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203096.528078079;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
128;1784203096.536787987;82.166274;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203096.537156105;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
129;1784203097.733891964;83.363378;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203097.734260082;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
130;1784203097.777240992;83.406727;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203097.777609110;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
131;1784203097.805114985;83.434601;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203097.805483103;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
132;1784203098.984731913;84.614218;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203098.985100031;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
133;1784203100.242428064;85.871914;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203100.242796183;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
134;1784203100.258249044;85.887735;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203100.258617163;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
135;1784203101.557065010;87.186551;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203101.557433128;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
136;1784203101.583875895;87.213362;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203101.584244013;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
137;1784203102.826690912;88.456177;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203102.827059031;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
138;1784203102.848613024;88.478099;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203102.848981142;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
139;1784203104.173568010;89.803054;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203104.173936129;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
140;1784203105.398730040;91.028216;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203105.399098158;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
141;1784203106.702091932;92.331578;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203106.702460051;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
142;1784203106.739314079;92.368800;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203106.739682198;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
143;1784203106.761111975;92.390598;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203106.761480093;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
144;1784203107.974354029;93.603840;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203107.974722147;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
145;1784203107.991110086;93.620596;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203107.991478205;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
146;1784203109.231266022;94.860752;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203109.231634140;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
147;1784203109.232115984;94.861602;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203109.232484102;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
148;1784203110.574996948;96.204483;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203110.575365067;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
149;1784203110.596533060;96.226019;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203110.596901178;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
150;1784203110.608088970;96.237575;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203110.608457088;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
151;1784203111.800865889;97.430352;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203111.801234007;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
