numero_trame,temps_debut_s,temps_fin_s,duree_us,mac,rssi_dbm,canal,longueur_payload_octets,type_pdu,phy
11834,1784084889.154732943,1784084889.155108929,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11835,1784084889.166853905,1784084889.167125940,272.000,41:6d:d3:6c:c4:f6,-93,39,24,0x00,LE 1M
11836,1784084889.188832045,1784084889.189023972,192.000,de:87:fd:43:ed:22,-82,37,14,0x02,LE 1M
11837,1784084889.232690096,1784084889.233066082,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11838,1784084889.235085964,1784084889.235461950,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11839,1784084889.268203020,1784084889.268579006,376.000,e0:90:b5:2d:f2:73,-63,37,37,0x00,LE 1M
11840,1784084889.290775061,1784084889.290910959,136.000,inconnue,-50,38,7,0x07,LE 1M
11841,1784084889.323616982,1784084889.323752880,136.000,inconnue,-64,39,7,0x07,LE 1M
11842,1784084889.350419998,1784084889.350723982,304.000,45:ed:1f:7e:01:34,-63,37,28,0x00,LE 1M
11843,1784084889.374284029,1784084889.374660015,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11844,1784084889.405173063,1784084889.405549049,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11845,1784084889.435496092,1784084889.435775995,280.000,63:01:49:29:80:f1,-82,37,25,0x00,LE 1M
11846,1784084889.457496881,1784084889.457872868,376.000,e0:90:b5:2d:f2:73,-56,38,37,0x00,LE 1M
11847,1784084889.475703001,1784084889.476078987,376.000,f6:7b:cc:3c:84:f1,-91,39,37,0x02,LE 1M
11848,1784084889.510762930,1784084889.511034966,272.000,42:57:c9:d0:83:51,-79,37,24,0x00,LE 1M
11849,1784084889.533289909,1784084889.533665895,376.000,e0:90:b5:2d:f2:73,-56,38,37,0x00,LE 1M
11850,1784084889.568694115,1784084889.569070101,376.000,e0:90:b5:2d:f2:73,-52,39,37,0x00,LE 1M
11851,1784084889.576251984,1784084889.576555967,304.000,45:ed:1f:7e:01:34,-69,37,28,0x00,LE 1M
11852,1784084889.599188089,1784084889.599492073,304.000,45:ed:1f:7e:01:34,-55,38,28,0x00,LE 1M
11853,1784084889.638843060,1784084889.639219046,376.000,e0:90:b5:2d:f2:73,-52,39,37,0x00,LE 1M
11854,1784084889.661454916,1784084889.661830902,376.000,e0:90:b5:2d:f2:73,-71,37,37,0x00,LE 1M
11855,1784084889.694664001,1784084889.694799900,136.000,inconnue,-51,38,7,0x07,LE 1M
11856,1784084889.713165045,1784084889.713541031,376.000,e0:90:b5:2d:f2:73,-51,39,37,0x00,LE 1M
11857,1784084889.736057043,1784084889.736433029,376.000,e0:90:b5:2d:f2:73,-74,37,37,0x00,LE 1M
11858,1784084889.770066023,1784084889.770442009,376.000,e0:90:b5:2d:f2:73,-56,38,37,0x00,LE 1M
11859,1784084889.787640095,1784084889.787944078,304.000,45:ed:1f:7e:01:34,-51,39,28,0x00,LE 1M
11860,1784084889.816432953,1784084889.816808939,376.000,e0:90:b5:2d:f2:73,-73,37,37,0x00,LE 1M
11861,1784084889.839716911,1784084889.839988947,272.000,42:57:c9:d0:83:51,-74,38,24,0x00,LE 1M
11862,1784084889.876827955,1784084889.876963854,136.000,inconnue,-65,39,7,0x07,LE 1M
11863,1784084889.894228935,1784084889.894604921,376.000,e0:90:b5:2d:f2:73,-68,37,37,0x00,LE 1M
11864,1784084889.912664890,1784084889.913040876,376.000,e0:90:b5:2d:f2:73,-57,38,37,0x00,LE 1M
11865,1784084889.951004028,1784084889.951308012,304.000,45:ed:1f:7e:01:34,-50,39,28,0x00,LE 1M
11866,1784084889.977931976,1784084889.978235960,304.000,45:ed:1f:7e:01:34,-64,37,28,0x00,LE 1M
11867,1784084890.009764910,1784084890.009900808,136.000,inconnue,-52,38,7,0x07,LE 1M
11868,1784084890.036381006,1784084890.036516905,136.000,inconnue,-66,39,7,0x07,LE 1M
11869,1784084890.053909063,1784084890.054285049,376.000,e0:90:b5:2d:f2:73,-63,37,37,0x00,LE 1M
11870,1784084890.092689991,1784084890.093065977,376.000,e0:90:b5:2d:f2:73,-58,38,37,0x00,LE 1M
11871,1784084890.115454912,1784084890.115830898,376.000,e0:90:b5:2d:f2:73,-50,39,37,0x00,LE 1M
11872,1784084890.153999090,1784084890.154278994,280.000,63:01:49:29:80:f1,-82,37,25,0x00,LE 1M
11873,1784084890.186382055,1784084890.186758041,376.000,e0:90:b5:2d:f2:73,-58,38,37,0x00,LE 1M
11874,1784084890.209263086,1784084890.209542990,280.000,41:ab:00:75:3b:aa,-90,39,25,0x00,LE 1M
11875,1784084890.236608028,1784084890.236880064,272.000,42:57:c9:d0:83:51,-80,37,24,0x00,LE 1M
11876,1784084890.263020039,1784084890.263155937,136.000,inconnue,-51,38,7,0x07,LE 1M
11877,1784084890.290501118,1784084890.290805101,304.000,45:ed:1f:7e:01:34,-50,39,28,0x00,LE 1M
11878,1784084890.328922033,1784084890.329226017,304.000,45:ed:1f:7e:01:34,-60,37,28,0x00,LE 1M
