numero;timestamp_s;temps_relatif_s;mac;longueur_payload_octets;type_pdu;rssi_brut_dbm;rssi_calibre_dbm;offset_db;canal;duree_estimee_us;timestamp_fin_s;intervalle_ms;company_id;donnees_brutes;uuid_cible;major_cible;minor_cible
166;1784722442.916320086;167.919958;67:08:db:54:3a:39;33;0x00;-70;-70.00;0.00;39;344.000;1784722442.916664124;26.601;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
167;1784722443.162801027;168.166439;67:08:db:54:3a:39;33;0x00;-66;-66.00;0.00;37;344.000;1784722443.163145065;246.481;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
168;1784722443.189398050;168.193036;67:08:db:54:3a:39;33;0x00;-62;-62.00;0.00;38;344.000;1784722443.189742088;26.597;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
169;1784722443.215915918;168.219554;67:08:db:54:3a:39;33;0x00;-70;-70.00;0.00;39;344.000;1784722443.216259956;26.518;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
170;1784722443.443309069;168.446947;67:08:db:54:3a:39;33;0x00;-66;-66.00;0.00;37;344.000;1784722443.443653107;227.393;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
171;1784722443.480194092;168.483832;67:08:db:54:3a:39;33;0x00;-62;-62.00;0.00;38;344.000;1784722443.480538130;36.885;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
172;1784722443.501543999;168.505182;67:08:db:54:3a:39;33;0x00;-71;-71.00;0.00;39;344.000;1784722443.501888037;21.350;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
173;1784722443.770744085;168.774382;67:08:db:54:3a:39;33;0x00;-66;-66.00;0.00;37;344.000;1784722443.771088123;269.200;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
174;1784722443.771481991;168.775120;67:08:db:54:3a:39;33;0x00;-62;-62.00;0.00;38;344.000;1784722443.771826029;0.738;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
175;1784722443.772290945;168.775929;67:08:db:54:3a:39;33;0x00;-71;-71.00;0.00;39;344.000;1784722443.772634983;0.809;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
